setup,unite_detection,horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,niveau_prix,niveau_cote,niveau_unite,niveau_formation,sweep_extreme,unite_fibo,reference_prix,unite_fvg,fvg_haut,fvg_bas,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree,n_paliers
sweep,M15,2026-08-13 13:25:00+00:00,2026-08-13 14:05:00+00:00,baissier,,0.0,0.0,,4396.475,haut,M15,2026-08-13 11:15:00+00:00,4401.045,M15,4363.905,M1,4390.965,4390.735,marche,4387.605,4402.045,4374.3042,4370.705,0.04,51.8,1.035,objectif,13,2
order_block,M15,2026-08-13 14:49:00+00:00,2026-08-13 15:31:00+00:00,haussier,M15,4370.405,4363.905,2026-08-13 08:00:00+00:00,,,,,,,,M5,4383.805,4382.575,marche,4385.715,4362.905,4398.445,4362.605,0.03,-60.06,-1.013,stop,14,0
order_block,M30,2026-08-13 23:15:00+00:00,2026-08-14 00:23:00+00:00,haussier,M30,4351.645,4347.495,2026-08-13 20:30:00+00:00,,,,,,,,M5,4359.185,4357.325,marche,4361.245,4346.495,4364.785,4346.195,0.04,-52.05,-1.018,stop,23,0
order_block,H1,2026-08-14 00:23:00+00:00,2026-08-14 00:27:00+00:00,baissier,H1,4363.365,4354.395,2026-08-13 18:00:00+00:00,,,,,,,,M5,4349.505,4349.035,marche,4344.555,4364.365,4339.675,4339.975,0.03,11.88,0.231,objectif,0,0
sweep,H1,2026-08-14 02:01:00+00:00,2026-08-14 02:15:00+00:00,haussier,,0.0,0.0,,4316.305,bas,H1,2026-08-10 13:00:00+00:00,4312.015,M15,4364.005,M3,4318.495,4316.805,marche,4319.555,4311.015,4349.4478,4310.715,0.07,-53.5,-1.035,stop,2,2
order_block,M15,2026-08-14 12:46:00+00:00,2026-08-14 13:32:00+00:00,baissier,M15,4387.005,4380.885,2026-08-13 14:45:00+00:00,,,,,,,,M5,4377.105,4372.395,marche,4370.995,4388.005,4361.785,4388.305,0.04,-59.87,-1.018,stop,12,0
sweep,M15,2026-08-14 14:02:00+00:00,2026-08-17 00:53:00+00:00,baissier,,0.0,0.0,,4387.005,haut,M15,2026-08-13 14:45:00+00:00,4396.765,M15,4347.725,M3,4390.865,4390.195,marche,4387.255,4397.765,4361.4562,4398.065,0.06,-55.93,-1.026,stop,14,2
sweep,M15,2026-08-17 10:31:00+00:00,2026-08-17 10:49:00+00:00,baissier,,0.0,0.0,,4401.075,haut,M15,2026-08-17 05:30:00+00:00,4404.465,M15,4392.285,M3,4401.095,4400.395,marche,4398.875,4405.465,4395.6954,4399.175,0.09,10.01,0.196,break_even,10,2
sweep,M30,2026-08-17 17:34:00+00:00,2026-08-18 04:01:00+00:00,baissier,,0.0,0.0,,4416.235,haut,M30,2026-08-17 01:00:00+00:00,4428.675,M15,4376.785,M5,4423.925,4418.205,marche,4416.215,4429.675,4391.3142,4390.535,0.05,108.6,1.872,objectif,17,2
sweep,M15,2026-08-18 14:20:00+00:00,2026-08-18 14:33:00+00:00,baissier,,0.0,0.0,,4398.435,haut,M15,2026-08-18 08:30:00+00:00,4406.325,M15,4385.645,M1,4402.375,4401.325,marche,4400.355,4407.325,4391.4354,4385.945,0.09,89.54,1.652,objectif,14,2
sweep,M15,2026-08-18 17:46:00+00:00,2026-08-19 00:01:00+00:00,haussier,,0.0,0.0,,4366.865,bas,M15,2026-08-16 23:30:00+00:00,4351.415,M15,4406.325,M5,4358.785,4356.835,marche,4360.975,4350.415,4390.9502,4350.115,0.06,-56.0,-1.023,stop,17,2
order_block,M30,2026-08-19 07:44:00+00:00,2026-08-19 10:49:00+00:00,baissier,M30,4368.255,4362.955,2026-08-18 17:00:00+00:00,,,,,,,,M5,4356.285,4354.815,marche,4352.315,4369.255,4345.545,4369.555,0.04,-59.27,-1.018,stop,7,0
sweep,M30,2026-08-20 02:05:00+00:00,2026-08-20 08:17:00+00:00,baissier,,0.0,0.0,,4499.125,haut,M30,2026-08-19 16:00:00+00:00,4527.475,M15,4471.755,M5,4498.615,4498.035,marche,4496.455,4528.475,4487.3566,4496.755,0.02,7.27,0.133,break_even,2,2
sweep,H1,2026-08-20 16:08:00+00:00,2026-08-21 01:36:00+00:00,baissier,,0.0,0.0,,4527.475,haut,H1,2026-08-19 22:00:00+00:00,4540.795,M15,4450.365,M3,4519.965,4519.535,marche,4518.595,4541.795,4475.6854,4542.095,0.03,-60.31,-1.013,stop,16,2
sweep,H1,2026-08-21 02:02:00+00:00,2026-08-21 02:26:00+00:00,baissier,,0.0,0.0,,4540.795,haut,H1,2026-08-20 15:00:00+00:00,4543.515,M15,4514.005,M1,4528.905,4528.305,marche,4527.295,4544.515,4522.2678,4527.595,0.04,7.57,0.129,break_even,2,2
sweep,M15,2026-08-21 02:59:00+00:00,2026-08-21 04:22:00+00:00,baissier,,0.0,0.0,,4532.645,haut,M15,2026-08-20 23:00:00+00:00,4543.515,M15,4508.545,M1,4535.025,4534.875,marche,4533.255,4544.515,4518.3366,4544.815,0.06,-59.33,-1.027,stop,2,2
sweep,M30,2026-08-21 12:03:00+00:00,2026-08-21 12:33:00+00:00,baissier,,0.0,0.0,,4601.875,haut,M30,2026-08-21 09:00:00+00:00,4604.575,M15,4577.785,M3,4597.625,4597.605,marche,4596.495,4605.575,4585.2862,4578.085,0.07,87.78,1.614,objectif,12,2
sweep,M30,2026-08-21 15:31:00+00:00,2026-08-21 15:37:00+00:00,baissier,,0.0,0.0,,4604.575,haut,M30,2026-08-21 11:30:00+00:00,4607.015,M15,4563.255,M1,4602.345,4602.105,marche,4599.985,4608.015,4575.5078,4608.315,0.08,-57.0,-1.037,stop,15,2
order_block,H1,2026-08-23 22:02:00+00:00,2026-08-24 00:06:00+00:00,baissier,H1,4627.565,4619.205,2026-08-21 18:00:00+00:00,,,,,,,,M5,4621.035,4619.385,marche,4608.935,4628.565,4540.635,4628.865,0.03,-51.24,-1.017,stop,22,0
order_block,M15,2026-08-24 00:49:00+00:00,2026-08-24 01:00:00+00:00,haussier,M15,4619.205,4607.285,2026-08-23 23:30:00+00:00,,,,,,,,M5,4611.415,4610.945,marche,4613.495,4606.285,4619.825,4619.525,0.09,46.51,0.836,objectif,0,0
sweep,M15,2026-08-24 05:50:00+00:00,2026-08-24 06:18:00+00:00,haussier,,0.0,0.0,,4632.215,bas,M15,2026-08-24 04:00:00+00:00,4629.545,M15,4656.765,M1,4636.015,4634.005,marche,4639.275,4628.545,4649.1434,4656.465,0.06,68.79,1.247,objectif,5,2
sweep,M15,2026-08-25 08:04:00+00:00,2026-08-25 08:09:00+00:00,haussier,,0.0,0.0,,4628.615,bas,M15,2026-08-24 08:30:00+00:00,4622.215,M15,4682.795,M1,4626.245,4624.805,marche,4628.565,4621.215,4665.8326,4620.915,0.08,-52.46,-1.041,stop,8,2
