horodatage_entree,horodatage_sortie,sens,unite_ob,type_jambe,unite_fvg,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree
2025-03-03 09:45:00+00:00,2025-03-03 10:46:00+00:00,baissier,M15,normale,M5,marche,2863.425,2871.425,2839.425,2871.725,0.07,-55.49,-1.038,stop,9
2025-03-03 13:15:00+00:00,2025-03-03 13:21:00+00:00,haussier,M15,normale,M1,marche,2875.605,2870.775,2890.095,2870.475,0.11,-53.9,-1.062,stop,13
2025-03-04 02:41:00+00:00,2025-03-04 08:20:00+00:00,haussier,M15,violente,M5,ote,2887.985,2880.648,2909.996,2909.696,0.08,164.59,2.959,objectif,2
2025-03-04 20:32:00+00:00,2025-03-05 17:01:00+00:00,baissier,M15,normale,M5,marche,2916.425,2924.495,2892.215,2924.795,0.07,-54.78,-1.023,stop,20
2025-03-06 07:24:00+00:00,2025-03-07 13:37:00+00:00,baissier,M30,normale,M5,marche,2915.125,2923.885,2888.845,2924.185,0.07,-58.43,-1.029,stop,7
2025-03-12 03:52:00+00:00,2025-03-12 09:01:00+00:00,baissier,M15,normale,M5,marche,2915.108,2922.245,2893.697,2922.545,0.08,-54.69,-1.042,stop,3
2025-03-12 12:32:00+00:00,2025-03-12 13:25:00+00:00,haussier,M30,normale,M5,marche,2918.775,2907.785,2951.745,2907.485,0.05,-51.89,-1.027,stop,12
2025-03-16 23:56:00+00:00,2025-03-17 11:18:00+00:00,baissier,H1,normale,M5,marche,2989.708,3000.415,2957.587,3000.715,0.06,-60.58,-1.027,stop,23
2025-03-17 12:06:00+00:00,2025-03-18 01:57:00+00:00,baissier,M15,normale,M5,marche,2994.338,3005.725,2960.177,3006.025,0.05,-53.55,-1.025,stop,12
2025-03-20 09:23:00+00:00,2025-03-20 10:09:00+00:00,haussier,M15,normale,M5,marche,3046.125,3035.788,3077.136,3035.488,0.06,-58.91,-1.029,stop,9
2025-03-20 10:59:00+00:00,2025-03-21 05:43:00+00:00,haussier,M15,normale,M5,marche,3035.785,3023.375,3073.015,3023.075,0.05,-58.67,-1.024,stop,10
2025-03-21 06:47:00+00:00,2025-03-21 11:50:00+00:00,baissier,M15,normale,M5,marche,3030.235,3036.585,3011.185,3036.885,0.09,-55.25,-1.047,stop,6
2025-03-21 14:24:00+00:00,2025-03-27 10:03:00+00:00,haussier,M15,normale,M5,marche,3009.325,2998.265,3042.505,3042.205,0.05,152.41,2.985,objectif,14
2025-03-27 14:11:00+00:00,2025-03-28 06:08:00+00:00,haussier,M15,violente,M5,ote,3045.645,3033.458,3082.206,3081.906,0.05,168.05,2.975,objectif,14
2025-03-31 11:03:00+00:00,2025-03-31 13:41:00+00:00,haussier,M30,violente,M5,ote,3118.685,3106.198,3156.146,3105.898,0.05,-59.18,-1.024,stop,11
